geografia,nome_curto,uf,tipo,grupo_geografico,indicador,unidade,periodo,valor,valor_ano_anterior,destaque_ceara,fonte
Município de São Luís (MA),São Luís,MA,capital,Capital,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,3109.0,3290.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de São Luís (MA),São Luís,MA,capital,Capital,Taxa de desocupação,%,jan-fev-mar/2026,9.6,8.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana da Grande São Luís (MA),RM São Luís,MA,rm,Região metropolitana,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,2913.0,2936.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana da Grande São Luís (MA),RM São Luís,MA,rm,Região metropolitana,Taxa de desocupação,%,jan-fev-mar/2026,7.6,7.3,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Teresina (PI),Teresina,PI,capital,Capital,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,4169.0,4043.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Teresina (PI),Teresina,PI,capital,Capital,Taxa de desocupação,%,jan-fev-mar/2026,7.4,8.8,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana da Grande Teresina (PI),RM Teresina,PI,rm,Região metropolitana,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,3717.0,3612.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana da Grande Teresina (PI),RM Teresina,PI,rm,Região metropolitana,Taxa de desocupação,%,jan-fev-mar/2026,8.2,8.8,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Fortaleza (CE),Fortaleza,CE,capital,Capital,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,3780.0,3489.0,True,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Fortaleza (CE),Fortaleza,CE,capital,Capital,Taxa de desocupação,%,jan-fev-mar/2026,8.0,8.8,True,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Fortaleza (CE),RM Fortaleza,CE,rm,Região metropolitana,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,3292.0,3011.0,True,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Fortaleza (CE),RM Fortaleza,CE,rm,Região metropolitana,Taxa de desocupação,%,jan-fev-mar/2026,8.3,8.2,True,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Natal (RN),Natal,RN,capital,Capital,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,4315.0,4602.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de Natal (RN),Natal,RN,capital,Capital,Taxa de desocupação,%,jan-fev-mar/2026,5.9,6.6,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Natal (RN),RM Natal,RN,rm,Região metropolitana,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,3646.0,3563.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Região Metropolitana de Natal (RN),RM Natal,RN,rm,Região metropolitana,Taxa de desocupação,%,jan-fev-mar/2026,5.9,8.3,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
Município de João Pessoa (PB),João Pessoa,PB,capital,Capital,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,4415.0,4371.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético (capitais/RMs)"
