indicador_id,secao,grupo,indicador,unidade,periodo,ordem_periodo,valor,variacao_trimestral_abs,variacao_trimestral_pct,variacao_anual_abs,variacao_anual_pct,situacao_trimestral,situacao_anual,fonte
mercado-de-trabalho--taxa-de-desocupacao,Mercado de trabalho,Taxas principais,Taxa de desocupação,%,jan-fev-mar/2025,1,8.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--taxa-de-desocupacao,Mercado de trabalho,Taxas principais,Taxa de desocupação,%,out-nov-dez/2025,2,5.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--taxa-de-desocupacao,Mercado de trabalho,Taxas principais,Taxa de desocupação,%,jan-fev-mar/2026,3,7.3,2.3,,-0.7,,cresceu,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--nivel-da-ocupacao,Mercado de trabalho,Taxas principais,Nível da ocupação,%,jan-fev-mar/2025,1,46.5,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--nivel-da-ocupacao,Mercado de trabalho,Taxas principais,Nível da ocupação,%,out-nov-dez/2025,2,49.5,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--nivel-da-ocupacao,Mercado de trabalho,Taxas principais,Nível da ocupação,%,jan-fev-mar/2026,3,47.6,-2.0,,1.0,,decresceu,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--taxa-de-participacao-na-forca-de-trabalho,Mercado de trabalho,Taxas principais,Taxa de participação na força de trabalho,%,jan-fev-mar/2025,1,50.6,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--taxa-de-participacao-na-forca-de-trabalho,Mercado de trabalho,Taxas principais,Taxa de participação na força de trabalho,%,out-nov-dez/2025,2,52.1,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--taxa-de-participacao-na-forca-de-trabalho,Mercado de trabalho,Taxas principais,Taxa de participação na força de trabalho,%,jan-fev-mar/2026,3,51.3,-0.8,,0.7,,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--pessoas-de-14-anos-ou-mais,Mercado de trabalho,Condição em relação à força de trabalho,Pessoas de 14 anos ou mais,Mil pessoas,jan-fev-mar/2025,1,7559.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--pessoas-de-14-anos-ou-mais,Mercado de trabalho,Condição em relação à força de trabalho,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2025,2,7583.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--pessoas-de-14-anos-ou-mais,Mercado de trabalho,Condição em relação à força de trabalho,Pessoas de 14 anos ou mais,Mil pessoas,jan-fev-mar/2026,3,7576.0,-7.0,-0.1,18.0,0.2,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--na-forca-de-trabalho,Mercado de trabalho,Condição em relação à força de trabalho,Na força de trabalho,Mil pessoas,jan-fev-mar/2025,1,3824.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--na-forca-de-trabalho,Mercado de trabalho,Condição em relação à força de trabalho,Na força de trabalho,Mil pessoas,out-nov-dez/2025,2,3952.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--na-forca-de-trabalho,Mercado de trabalho,Condição em relação à força de trabalho,Na força de trabalho,Mil pessoas,jan-fev-mar/2026,3,3885.0,-67.0,-1.7,60.0,1.6,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--ocupadas,Mercado de trabalho,Condição em relação à força de trabalho,Ocupadas,Mil pessoas,jan-fev-mar/2025,1,3518.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--ocupadas,Mercado de trabalho,Condição em relação à força de trabalho,Ocupadas,Mil pessoas,out-nov-dez/2025,2,3756.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--ocupadas,Mercado de trabalho,Condição em relação à força de trabalho,Ocupadas,Mil pessoas,jan-fev-mar/2026,3,3603.0,-153.0,-4.1,84.0,2.4,decresceu,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--desocupadas,Mercado de trabalho,Condição em relação à força de trabalho,Desocupadas,Mil pessoas,jan-fev-mar/2025,1,306.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--desocupadas,Mercado de trabalho,Condição em relação à força de trabalho,Desocupadas,Mil pessoas,out-nov-dez/2025,2,196.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--desocupadas,Mercado de trabalho,Condição em relação à força de trabalho,Desocupadas,Mil pessoas,jan-fev-mar/2026,3,282.0,86.0,44.2,-24.0,-7.8,cresceu,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--fora-da-forca-de-trabalho,Mercado de trabalho,Condição em relação à força de trabalho,Fora da força de trabalho,Mil pessoas,jan-fev-mar/2025,1,3734.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--fora-da-forca-de-trabalho,Mercado de trabalho,Condição em relação à força de trabalho,Fora da força de trabalho,Mil pessoas,out-nov-dez/2025,2,3632.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
mercado-de-trabalho--fora-da-forca-de-trabalho,Mercado de trabalho,Condição em relação à força de trabalho,Fora da força de trabalho,Mil pessoas,jan-fev-mar/2026,3,3692.0,60.0,1.6,-43.0,-1.1,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregados,Ocupação,Posição e categoria,Empregados,Mil pessoas,jan-fev-mar/2025,1,2383.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregados,Ocupação,Posição e categoria,Empregados,Mil pessoas,out-nov-dez/2025,2,2543.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregados,Ocupação,Posição e categoria,Empregados,Mil pessoas,jan-fev-mar/2026,3,2473.0,-71.0,-2.8,90.0,3.8,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-privado-exclusive-trabalhador-domestico,Ocupação,Posição e categoria,Setor privado (exclusive trabalhador doméstico),Mil pessoas,jan-fev-mar/2025,1,1662.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-privado-exclusive-trabalhador-domestico,Ocupação,Posição e categoria,Setor privado (exclusive trabalhador doméstico),Mil pessoas,out-nov-dez/2025,2,1742.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-privado-exclusive-trabalhador-domestico,Ocupação,Posição e categoria,Setor privado (exclusive trabalhador doméstico),Mil pessoas,jan-fev-mar/2026,3,1706.0,-35.0,-2.0,44.0,2.6,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-privado-com-carteira,Ocupação,Setor privado,Setor privado — com carteira,Mil pessoas,jan-fev-mar/2025,1,940.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-privado-com-carteira,Ocupação,Setor privado,Setor privado — com carteira,Mil pessoas,out-nov-dez/2025,2,1035.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-privado-com-carteira,Ocupação,Setor privado,Setor privado — com carteira,Mil pessoas,jan-fev-mar/2026,3,1037.0,2.0,0.2,96.0,10.2,estavel,cresceu,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-privado-sem-carteira,Ocupação,Setor privado,Setor privado — sem carteira,Mil pessoas,jan-fev-mar/2025,1,722.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-privado-sem-carteira,Ocupação,Setor privado,Setor privado — sem carteira,Mil pessoas,out-nov-dez/2025,2,707.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-privado-sem-carteira,Ocupação,Setor privado,Setor privado — sem carteira,Mil pessoas,jan-fev-mar/2026,3,669.0,-37.0,-5.3,-53.0,-7.3,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalhadores-domesticos,Ocupação,Posição e categoria,Trabalhadores domésticos,Mil pessoas,jan-fev-mar/2025,1,223.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalhadores-domesticos,Ocupação,Posição e categoria,Trabalhadores domésticos,Mil pessoas,out-nov-dez/2025,2,231.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalhadores-domesticos,Ocupação,Posição e categoria,Trabalhadores domésticos,Mil pessoas,jan-fev-mar/2026,3,198.0,-34.0,-14.6,-25.0,-11.4,decresceu,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalho-domestico-com-carteira,Ocupação,Trabalho doméstico,Trabalho doméstico — com carteira,Mil pessoas,jan-fev-mar/2025,1,25.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalho-domestico-com-carteira,Ocupação,Trabalho doméstico,Trabalho doméstico — com carteira,Mil pessoas,out-nov-dez/2025,2,28.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalho-domestico-com-carteira,Ocupação,Trabalho doméstico,Trabalho doméstico — com carteira,Mil pessoas,jan-fev-mar/2026,3,27.0,-1.0,-3.0,3.0,11.4,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalho-domestico-sem-carteira,Ocupação,Trabalho doméstico,Trabalho doméstico — sem carteira,Mil pessoas,jan-fev-mar/2025,1,198.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalho-domestico-sem-carteira,Ocupação,Trabalho doméstico,Trabalho doméstico — sem carteira,Mil pessoas,out-nov-dez/2025,2,203.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--trabalho-domestico-sem-carteira,Ocupação,Trabalho doméstico,Trabalho doméstico — sem carteira,Mil pessoas,jan-fev-mar/2026,3,170.0,-33.0,-16.2,-28.0,-14.2,decresceu,decresceu,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-publico,Ocupação,Posição e categoria,Setor público,Mil pessoas,jan-fev-mar/2025,1,498.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-publico,Ocupação,Posição e categoria,Setor público,Mil pessoas,out-nov-dez/2025,2,570.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-publico,Ocupação,Posição e categoria,Setor público,Mil pessoas,jan-fev-mar/2026,3,569.0,-1.0,-0.2,71.0,14.3,estavel,cresceu,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-publico-com-carteira,Ocupação,Setor público,Setor público — com carteira,Mil pessoas,jan-fev-mar/2025,1,55.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-publico-com-carteira,Ocupação,Setor público,Setor público — com carteira,Mil pessoas,out-nov-dez/2025,2,65.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-publico-com-carteira,Ocupação,Setor público,Setor público — com carteira,Mil pessoas,jan-fev-mar/2026,3,56.0,-9.0,-13.4,1.0,1.2,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--militares-e-funcionarios-publicos-estatutarios,Ocupação,Setor público,Militares e funcionários públicos estatutários,Mil pessoas,jan-fev-mar/2025,1,284.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--militares-e-funcionarios-publicos-estatutarios,Ocupação,Setor público,Militares e funcionários públicos estatutários,Mil pessoas,out-nov-dez/2025,2,293.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--militares-e-funcionarios-publicos-estatutarios,Ocupação,Setor público,Militares e funcionários públicos estatutários,Mil pessoas,jan-fev-mar/2026,3,293.0,-1.0,-0.2,9.0,3.1,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-publico-sem-carteira,Ocupação,Setor público,Setor público — sem carteira,Mil pessoas,jan-fev-mar/2025,1,158.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-publico-sem-carteira,Ocupação,Setor público,Setor público — sem carteira,Mil pessoas,out-nov-dez/2025,2,212.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--setor-publico-sem-carteira,Ocupação,Setor público,Setor público — sem carteira,Mil pessoas,jan-fev-mar/2026,3,220.0,8.0,3.7,62.0,38.9,estavel,cresceu,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregadores,Ocupação,Posição e categoria,Empregadores,Mil pessoas,jan-fev-mar/2025,1,111.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregadores,Ocupação,Posição e categoria,Empregadores,Mil pessoas,out-nov-dez/2025,2,114.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregadores,Ocupação,Posição e categoria,Empregadores,Mil pessoas,jan-fev-mar/2026,3,92.0,-23.0,-19.7,-19.0,-17.5,decresceu,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregadores-com-cnpj,Ocupação,Empregadores,Empregadores — com CNPJ,Mil pessoas,jan-fev-mar/2025,1,70.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregadores-com-cnpj,Ocupação,Empregadores,Empregadores — com CNPJ,Mil pessoas,out-nov-dez/2025,2,77.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregadores-com-cnpj,Ocupação,Empregadores,Empregadores — com CNPJ,Mil pessoas,jan-fev-mar/2026,3,65.0,-12.0,-16.1,-6.0,-7.9,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
ocupacao--empregadores-sem-cnpj,Ocupação,Empregadores,Empregadores — sem CNPJ,Mil pessoas,jan-fev-mar/2025,1,41.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
