codigo_trimestre,periodo,ordem_periodo,indicador,unidade,valor,arquivo_pdf,fonte
202404,out-nov-dez/2024,20244,Taxa de desocupação,%,6.5,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Nível da ocupação,%,48.5,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Taxa de participação na força de trabalho,%,51.8,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Pessoas de 14 anos ou mais,Mil pessoas,7622.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Na força de trabalho,Mil pessoas,3950.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Ocupadas,Mil pessoas,3694.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Desocupadas,Mil pessoas,256.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Fora da força de trabalho,Mil pessoas,3672.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Empregados,Mil pessoas,2451.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Setor privado — com carteira,Mil pessoas,981.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Setor público,Mil pessoas,507.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Trabalhadores por conta própria,Mil pessoas,1090.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Taxa composta de subutilização da força de trabalho,%,21.3,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Percentual de pessoas desalentadas,%,6.2,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Rendimento médio mensal real habitual,R$,2158.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
202404,out-nov-dez/2024,20244,Massa de rendimento mensal real habitual,R$ milhões,7871.0,pnadc_202404_trimestre_quadroSintetico.pdf,"IBGE, PNAD Contínua Trimestral — quadro sintético"
