geografia,grupo_geografico,indicador,unidade,periodo,valor,destaque_ceara,fonte
Brasil,Brasil,Taxa de desocupação,%,out-nov-dez/2024,6.2,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Brasil,Brasil,Nível da ocupação,%,out-nov-dez/2024,58.7,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Brasil,Brasil,Taxa de participação na força de trabalho,%,out-nov-dez/2024,62.6,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Brasil,Brasil,Ocupadas,Mil pessoas,out-nov-dez/2024,103818.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Brasil,Brasil,Desocupadas,Mil pessoas,out-nov-dez/2024,6822.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Brasil,Brasil,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,176811.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Brasil,Brasil,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,15.5,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Brasil,Brasil,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,3310.2,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Brasil,Brasil,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,339451.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Nordeste,Nordeste,Taxa de desocupação,%,out-nov-dez/2024,8.6,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Nordeste,Nordeste,Nível da ocupação,%,out-nov-dez/2024,50.4,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Nordeste,Nordeste,Taxa de participação na força de trabalho,%,out-nov-dez/2024,55.2,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Nordeste,Nordeste,Ocupadas,Mil pessoas,out-nov-dez/2024,23626.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Nordeste,Nordeste,Desocupadas,Mil pessoas,out-nov-dez/2024,2230.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Nordeste,Nordeste,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,46871.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Nordeste,Nordeste,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,25.5,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Nordeste,Nordeste,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,2284.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Nordeste,Nordeste,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,52943.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Maranhão,Estados do Nordeste,Taxa de desocupação,%,out-nov-dez/2024,6.9,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Maranhão,Estados do Nordeste,Nível da ocupação,%,out-nov-dez/2024,47.7,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Maranhão,Estados do Nordeste,Taxa de participação na força de trabalho,%,out-nov-dez/2024,51.2,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Maranhão,Estados do Nordeste,Ocupadas,Mil pessoas,out-nov-dez/2024,2680.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Maranhão,Estados do Nordeste,Desocupadas,Mil pessoas,out-nov-dez/2024,197.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Maranhão,Estados do Nordeste,Pessoas de 14 anos ou mais,Mil pessoas,out-nov-dez/2024,5621.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Maranhão,Estados do Nordeste,Taxa composta de subutilização da força de trabalho,%,out-nov-dez/2024,23.7,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Maranhão,Estados do Nordeste,Rendimento médio mensal real habitual,R$,out-nov-dez/2024,2066.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Maranhão,Estados do Nordeste,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2024,5394.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Piauí,Estados do Nordeste,Taxa de desocupação,%,out-nov-dez/2024,7.5,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Piauí,Estados do Nordeste,Nível da ocupação,%,out-nov-dez/2024,50.7,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Piauí,Estados do Nordeste,Taxa de participação na força de trabalho,%,out-nov-dez/2024,54.8,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
Piauí,Estados do Nordeste,Ocupadas,Mil pessoas,out-nov-dez/2024,1332.0,False,"IBGE, PNAD Contínua Trimestral — quadro sintético"
